2020-06-01 15:02:08,831 [ 1] INFO  Unity: LoadingManager start
2020-06-01 15:02:12,771 [ 1] INFO  Unity: DataManager > DataManager()
2020-06-01 15:03:09,638 [ 1] INFO  Unity: UserLoginRequest::user :useer123 psw:123456
2020-06-01 15:03:09,646 [ 1] INFO  Unity: ConnectToServer() Start 
2020-06-01 15:03:09,660 [ 1] INFO  Unity: DoConnect
2020-06-01 15:03:09,662 [ 1] INFO  Unity: NetClient.DoConnect on 127.0.0.1:8000
2020-06-01 15:03:09,685 [ 1] INFO  Unity: Connect[0] to server 127.0.0.1:8000

2020-06-01 15:03:09,704 [ 1] INFO  Unity: LoadingMesager::OnGameServerConnect :0 reason:Success
2020-06-01 15:03:10,080 [ 1] INFO  Unity: OnLogin:Failed [用户不存在.]
2020-06-01 15:03:20,082 [ 1] INFO  Unity: UserLoginRequest::user :user123 psw:123456
2020-06-01 15:03:20,154 [ 1] INFO  Unity: OnLogin:Success [None]
2020-06-01 15:03:20,162 [ 1] INFO  Unity: LoadLevel: CharSelect
2020-06-01 15:03:20,583 [ 1] INFO  Unity: LevelLoadCompleted:1
2020-06-01 15:03:23,328 [ 1] INFO  Unity: Select Char:[11]asdsadasdas[Archer]
2020-06-01 15:03:23,641 [ 1] INFO  Unity: UserGameEnterRequest::characterId :10
2020-06-01 15:03:23,708 [ 1] INFO  Unity: OnGameEnter:Success [None]
2020-06-01 15:03:23,709 [ 1] INFO  Unity: OnMapCharacterEnter: map: 1 count: 3
2020-06-01 15:03:23,725 [ 1] INFO  Unity: AddCharacter:4:asdsadasdas Map:1 Entity:(4:pos:(5000,4000,820),dir:(100,0,0),spd:0
2020-06-01 15:03:23,743 [ 1] INFO  Unity: AddCharacter:2:asdsadasdas Map:1 Entity:(2:pos:(1718,2575,805),dir:(-100,-1,0),spd:0
2020-06-01 15:03:23,744 [ 1] INFO  Unity: AddCharacter:3:离 Map:1 Entity:(3:pos:(2726,2506,805),dir:(-100,4,0),spd:0
2020-06-01 15:03:23,746 [ 1] INFO  Unity: LoadLevel: MainCity
2020-06-01 15:03:24,688 [ 1] INFO  Unity: LevelLoadCompleted:1
2020-06-01 15:03:25,461 [ 1] INFO  Unity: SetDirection:(98, -18, 0)
